term,term_adapted,term_context,Sociability,Morality,Assertiveness,Ability,Beliefs,Status,Health,Emotions,Geography,Occupation,Appearance,Beauty,Family,Deviance,SocialGroups,Gender,Race,Age,Sexual.Orientation,Valence,Valence_dir,Sociability_dir,Morality_dir,Assertiveness_dir,Ability_dir,Beliefs_dir,Status_dir,Health_dir,Geography_dir,Occupation_dir,Beauty_dir,Deviance_dir,Activation_dir,Emotionalvalence_dir,Age.youngtoold_dir,SexOr.LGBtostr8_dir,Gender.femtomasc_dir,Gender.nonbinary&trans,Sum,Sentence,Sentence_bold,Sentence_qualtrics,Sentence_bold_qualtrics,Sentence_bold_qualtrics2
bisexual,bisexual,A person who is bisexual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,2,If a person is bisexual they are also likely to be:,If a person is <b>bisexual</b> they are also likely to be:,"""If a person is bisexual they are also likely to be:"",","""If a person is <b>bisexual</b> they are also likely to be:"",","""If a person is <b>bisexual</b> they are also likely to:"","
homosexual,homosexual,A person who is homosexual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,2,If a person is homosexual they are also likely to be:,If a person is <b>homosexual</b> they are also likely to be:,"""If a person is homosexual they are also likely to be:"",","""If a person is <b>homosexual</b> they are also likely to be:"",","""If a person is <b>homosexual</b> they are also likely to:"","
straight,straight,A person who is straight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,If a person is straight they are also likely to be:,If a person is <b>straight</b> they are also likely to be:,"""If a person is straight they are also likely to be:"",","""If a person is <b>straight</b> they are also likely to be:"",","""If a person is <b>straight</b> they are also likely to:"","
heterosexual,heterosexual,A person who is heterosexual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,If a person is heterosexual they are also likely to be:,If a person is <b>heterosexual</b> they are also likely to be:,"""If a person is heterosexual they are also likely to be:"",","""If a person is <b>heterosexual</b> they are also likely to be:"",","""If a person is <b>heterosexual</b> they are also likely to:"","
LGB,LGB,A person who is LGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,2,If a person is LGBT they are also likely to be:,If a person is <b>LGBT</b> they are also likely to be:,"""If a person is LGBT they are also likely to be:"",","""If a person is <b>LGBT</b> they are also likely to be:"",","""If a person is <b>LGBT</b> they are also likely to:"","
queer,queer,A person who is queer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,2,If a person is queer they are also likely to be:,If a person is <b>queer</b> they are also likely to be:,"""If a person is queer they are also likely to be:"",","""If a person is <b>queer</b> they are also likely to be:"",","""If a person is <b>queer</b> they are also likely to:"","
asexual,asexual,A person who is asexual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,2,If a person is asexual they are also likely to be:,If a person is <b>asexual</b> they are also likely to be:,"""If a person is asexual they are also likely to be:"",","""If a person is <b>asexual</b> they are also likely to be:"",","""If a person is <b>asexual</b> they are also likely to:"","
White,White,A person who is White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,If a person is White they are also likely to be:,If a person is <b>White</b> they are also likely to be:,"""If a person is White they are also likely to be:"",","""If a person is <b>White</b> they are also likely to be:"",","""If a person is <b>White</b> they are also likely to:"","
Black,Black,A person who is Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,If a person is Black they are also likely to be:,If a person is <b>Black</b> they are also likely to be:,"""If a person is Black they are also likely to be:"",","""If a person is <b>Black</b> they are also likely to be:"",","""If a person is <b>Black</b> they are also likely to:"","
Asian,Asian,A person who is Asian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,If a person is Asian they are also likely to be:,If a person is <b>Asian</b> they are also likely to be:,"""If a person is Asian they are also likely to be:"",","""If a person is <b>Asian</b> they are also likely to be:"",","""If a person is <b>Asian</b> they are also likely to:"","
