term,term_adapted,term_context,Sociability,Morality,Assertiveness,Ability,Beliefs,Status,Health,Emotions,Geography,Occupation,Appearance,Beauty,Family,Deviance,SocialGroups,Gender,Race,Age,Sexual.Orientation,Valence,Valence_dir,Sociability_dir,Morality_dir,Assertiveness_dir,Ability_dir,Beliefs_dir,Status_dir,Health_dir,Geography_dir,Occupation_dir,Beauty_dir,Deviance_dir,Activation_dir,Emotionalvalence_dir,Age.youngtoold_dir,SexOr.LGBtostr8_dir,Gender.femtomasc_dir,Gender.nonbinary&trans,Sum,Sentence,Sentence_bold,Sentence_qualtrics,Sentence_bold_qualtrics,Sentence_bold_qualtrics2
awed,awed,A person who is awed,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,1,If a person is awed they are also likely to be:,If a person is <b>awed</b> they are also likely to be:,"""If a person is awed they are also likely to be:"",","""If a person is <b>awed</b> they are also likely to be:"",","""If a person is <b>awed</b> they are also likely to:"","
distressed,distressed,A person who is distressed,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-1,NA,NA,NA,NA,1,If a person is distressed they are also likely to be:,If a person is <b>distressed</b> they are also likely to be:,"""If a person is distressed they are also likely to be:"",","""If a person is <b>distressed</b> they are also likely to be:"",","""If a person is <b>distressed</b> they are also likely to:"","
fearful,fearful,A person who is fearful,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-1,NA,NA,NA,NA,1,If a person is fearful they are also likely to be:,If a person is <b>fearful</b> they are also likely to be:,"""If a person is fearful they are also likely to be:"",","""If a person is <b>fearful</b> they are also likely to be:"",","""If a person is <b>fearful</b> they are also likely to:"","
emotional,emotional,A person who is emotional,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,1,If a person is emotional they are also likely to be:,If a person is <b>emotional</b> they are also likely to be:,"""If a person is emotional they are also likely to be:"",","""If a person is <b>emotional</b> they are also likely to be:"",","""If a person is <b>emotional</b> they are also likely to:"","
aroused,aroused,A person who is aroused,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,1,,,,,
high energy,high energy,A person who is high energy,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,1,,,,,
stimulated,stimulated,A person who is stimulated,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,,,,,
elated,elated,A person who is elated,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,If a person is elated they are also likely to be:,If a person is <b>elated</b> they are also likely to be:,"""If a person is elated they are also likely to be:"",","""If a person is <b>elated</b> they are also likely to be:"",","""If a person is <b>elated</b> they are also likely to:"","
irritable,irritable,A person who is irritable,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-1,NA,NA,NA,NA,1,If a person is happy they are also likely to be:,If a person is <b>happy</b> they are also likely to be:,"""If a person is happy they are also likely to be:"",","""If a person is <b>happy</b> they are also likely to be:"",","""If a person is <b>happy</b> they are also likely to:"","
interested,interested,A person who is interested,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,If a person is interested they are also likely to be:,If a person is <b>interested</b> they are also likely to be:,"""If a person is interested they are also likely to be:"",","""If a person is <b>interested</b> they are also likely to be:"",","""If a person is <b>interested</b> they are also likely to:"","
friendly,friendly,A person who is friendly,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is friendly they are also likely to be:,If a person is <b>friendly</b> they are also likely to be:,"""If a person is friendly they are also likely to be:"",","""If a person is <b>friendly</b> they are also likely to be:"",","""If a person is <b>friendly</b> they are also likely to:"","
unfriendly,unfriendly,A person who is unfriendly,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is unfriendly they are also likely to be:,If a person is <b>unfriendly</b> they are also likely to be:,"""If a person is unfriendly they are also likely to be:"",","""If a person is <b>unfriendly</b> they are also likely to be:"",","""If a person is <b>unfriendly</b> they are also likely to:"","
polite,polite,A person who is polite,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is polite they are also likely to be:,If a person is <b>polite</b> they are also likely to be:,"""If a person is polite they are also likely to be:"",","""If a person is <b>polite</b> they are also likely to be:"",","""If a person is <b>polite</b> they are also likely to:"","
impolite,impolite,A person who is impolite,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is impolite they are also likely to be:,If a person is <b>impolite</b> they are also likely to be:,"""If a person is impolite they are also likely to be:"",","""If a person is <b>impolite</b> they are also likely to be:"",","""If a person is <b>impolite</b> they are also likely to:"","
sociable,sociable,A person who is sociable,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is sociable they are also likely to be:,If a person is <b>sociable</b> they are also likely to be:,"""If a person is sociable they are also likely to be:"",","""If a person is <b>sociable</b> they are also likely to be:"",","""If a person is <b>sociable</b> they are also likely to:"","
unsociable,unsociable,A person who is unsociable,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is unsociable they are also likely to be:,If a person is <b>unsociable</b> they are also likely to be:,"""If a person is unsociable they are also likely to be:"",","""If a person is <b>unsociable</b> they are also likely to be:"",","""If a person is <b>unsociable</b> they are also likely to:"","
social,social,A person who is social,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is social they are also likely to be:,If a person is <b>social</b> they are also likely to be:,"""If a person is social they are also likely to be:"",","""If a person is <b>social</b> they are also likely to be:"",","""If a person is <b>social</b> they are also likely to:"","
unsocial,unsocial,A person who is unsocial,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is unsocial they are also likely to be:,If a person is <b>unsocial</b> they are also likely to be:,"""If a person is unsocial they are also likely to be:"",","""If a person is <b>unsocial</b> they are also likely to be:"",","""If a person is <b>unsocial</b> they are also likely to:"","
warm,warm,A person who is warm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is warm they are also likely to be:,If a person is <b>warm</b> they are also likely to be:,"""If a person is warm they are also likely to be:"",","""If a person is <b>warm</b> they are also likely to be:"",","""If a person is <b>warm</b> they are also likely to:"","
cold,cold,A person who is cold,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is cold they are also likely to be:,If a person is <b>cold</b> they are also likely to be:,"""If a person is cold they are also likely to be:"",","""If a person is <b>cold</b> they are also likely to be:"",","""If a person is <b>cold</b> they are also likely to:"","
outgoing,outgoing,A person who is outgoing,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is outgoing they are also likely to be:,If a person is <b>outgoing</b> they are also likely to be:,"""If a person is outgoing they are also likely to be:"",","""If a person is <b>outgoing</b> they are also likely to be:"",","""If a person is <b>outgoing</b> they are also likely to:"","
shy,shy,A person who is shy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is shy they are also likely to be:,If a person is <b>shy</b> they are also likely to be:,"""If a person is shy they are also likely to be:"",","""If a person is <b>shy</b> they are also likely to be:"",","""If a person is <b>shy</b> they are also likely to:"","
unreserved,unreserved,A person who is unreserved,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is unreserved they are also likely to be:,If a person is <b>unreserved</b> they are also likely to be:,"""If a person is unreserved they are also likely to be:"",","""If a person is <b>unreserved</b> they are also likely to be:"",","""If a person is <b>unreserved</b> they are also likely to:"","
aloof,aloof,A person who is aloof,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is aloof they are also likely to be:,If a person is <b>aloof</b> they are also likely to be:,"""If a person is aloof they are also likely to be:"",","""If a person is <b>aloof</b> they are also likely to be:"",","""If a person is <b>aloof</b> they are also likely to:"","
welcoming,welcoming,A person who is welcoming,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is welcoming they are also likely to be:,If a person is <b>welcoming</b> they are also likely to be:,"""If a person is welcoming they are also likely to be:"",","""If a person is <b>welcoming</b> they are also likely to be:"",","""If a person is <b>welcoming</b> they are also likely to:"","
rude,rude,A person who is rude,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is rude they are also likely to be:,If a person is <b>rude</b> they are also likely to be:,"""If a person is rude they are also likely to be:"",","""If a person is <b>rude</b> they are also likely to be:"",","""If a person is <b>rude</b> they are also likely to:"","
sympathetic,sympathetic,A person who is sympathetic,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is sympathetic they are also likely to be:,If a person is <b>sympathetic</b> they are also likely to be:,"""If a person is sympathetic they are also likely to be:"",","""If a person is <b>sympathetic</b> they are also likely to be:"",","""If a person is <b>sympathetic</b> they are also likely to:"","
unsympathetic,unsympathetic,A person who is unsympathetic,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is unsympathetic they are also likely to be:,If a person is <b>unsympathetic</b> they are also likely to be:,"""If a person is unsympathetic they are also likely to be:"",","""If a person is <b>unsympathetic</b> they are also likely to be:"",","""If a person is <b>unsympathetic</b> they are also likely to:"","
humorous,humorous,A person who is humorous,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is humorous they are also likely to be:,If a person is <b>humorous</b> they are also likely to be:,"""If a person is humorous they are also likely to be:"",","""If a person is <b>humorous</b> they are also likely to be:"",","""If a person is <b>humorous</b> they are also likely to:"","
boring,boring,A person who is boring,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is boring they are also likely to be:,If a person is <b>boring</b> they are also likely to be:,"""If a person is boring they are also likely to be:"",","""If a person is <b>boring</b> they are also likely to be:"",","""If a person is <b>boring</b> they are also likely to:"","
affectionate,affectionate,A person who is affectionate,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is affectionate they are also likely to be:,If a person is <b>affectionate</b> they are also likely to be:,"""If a person is affectionate they are also likely to be:"",","""If a person is <b>affectionate</b> they are also likely to be:"",","""If a person is <b>affectionate</b> they are also likely to:"","
unaffectionate,unaffectionate,A person who is unaffectionate,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is unaffectionate they are also likely to be:,If a person is <b>unaffectionate</b> they are also likely to be:,"""If a person is unaffectionate they are also likely to be:"",","""If a person is <b>unaffectionate</b> they are also likely to be:"",","""If a person is <b>unaffectionate</b> they are also likely to:"","
agreeable,agreeable,A person who is agreeable,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is agreeable they are also likely to be:,If a person is <b>agreeable</b> they are also likely to be:,"""If a person is agreeable they are also likely to be:"",","""If a person is <b>agreeable</b> they are also likely to be:"",","""If a person is <b>agreeable</b> they are also likely to:"","
disagreeable,disagreeable,A person who is disagreeable,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is disagreeable they are also likely to be:,If a person is <b>disagreeable</b> they are also likely to be:,"""If a person is disagreeable they are also likely to be:"",","""If a person is <b>disagreeable</b> they are also likely to be:"",","""If a person is <b>disagreeable</b> they are also likely to:"","
forthcoming,forthcoming,A person who is forthcoming,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is forthcoming they are also likely to be:,If a person is <b>forthcoming</b> they are also likely to be:,"""If a person is forthcoming they are also likely to be:"",","""If a person is <b>forthcoming</b> they are also likely to be:"",","""If a person is <b>forthcoming</b> they are also likely to:"","
distant,distant,A person who is distant,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is distant they are also likely to be:,If a person is <b>distant</b> they are also likely to be:,"""If a person is distant they are also likely to be:"",","""If a person is <b>distant</b> they are also likely to be:"",","""If a person is <b>distant</b> they are also likely to:"","
funny,funny,A person who is funny,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is funny they are also likely to be:,If a person is <b>funny</b> they are also likely to be:,"""If a person is funny they are also likely to be:"",","""If a person is <b>funny</b> they are also likely to be:"",","""If a person is <b>funny</b> they are also likely to:"","
unfunny,unfunny,A person who is unfunny,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is unfunny they are also likely to be:,If a person is <b>unfunny</b> they are also likely to be:,"""If a person is unfunny they are also likely to be:"",","""If a person is <b>unfunny</b> they are also likely to be:"",","""If a person is <b>unfunny</b> they are also likely to:"","
open,open,A person who is open,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is open they are also likely to be:,If a person is <b>open</b> they are also likely to be:,"""If a person is open they are also likely to be:"",","""If a person is <b>open</b> they are also likely to be:"",","""If a person is <b>open</b> they are also likely to:"","
timid,timid,A person who is timid,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is timid they are also likely to be:,If a person is <b>timid</b> they are also likely to be:,"""If a person is timid they are also likely to be:"",","""If a person is <b>timid</b> they are also likely to be:"",","""If a person is <b>timid</b> they are also likely to:"","
likable,likable,A person who is likable,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is likable they are also likely to be:,If a person is <b>likable</b> they are also likely to be:,"""If a person is likable they are also likely to be:"",","""If a person is <b>likable</b> they are also likely to be:"",","""If a person is <b>likable</b> they are also likely to:"","
unlikable,unlikable,A person who is unlikable,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is unlikable they are also likely to be:,If a person is <b>unlikable</b> they are also likely to be:,"""If a person is unlikable they are also likely to be:"",","""If a person is <b>unlikable</b> they are also likely to be:"",","""If a person is <b>unlikable</b> they are also likely to:"","
pleasant,pleasant,A person who is pleasant,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is pleasant they are also likely to be:,If a person is <b>pleasant</b> they are also likely to be:,"""If a person is pleasant they are also likely to be:"",","""If a person is <b>pleasant</b> they are also likely to be:"",","""If a person is <b>pleasant</b> they are also likely to:"","
unpleasant,unpleasant,A person who is unpleasant,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is unpleasant they are also likely to be:,If a person is <b>unpleasant</b> they are also likely to be:,"""If a person is unpleasant they are also likely to be:"",","""If a person is <b>unpleasant</b> they are also likely to be:"",","""If a person is <b>unpleasant</b> they are also likely to:"","
caring,caring,A person who is caring,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is caring they are also likely to be:,If a person is <b>caring</b> they are also likely to be:,"""If a person is caring they are also likely to be:"",","""If a person is <b>caring</b> they are also likely to be:"",","""If a person is <b>caring</b> they are also likely to:"","
uncaring,uncaring,A person who is uncaring,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is uncaring they are also likely to be:,If a person is <b>uncaring</b> they are also likely to be:,"""If a person is uncaring they are also likely to be:"",","""If a person is <b>uncaring</b> they are also likely to be:"",","""If a person is <b>uncaring</b> they are also likely to:"","
supportive,supportive,A person who is supportive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is supportive they are also likely to be:,If a person is <b>supportive</b> they are also likely to be:,"""If a person is supportive they are also likely to be:"",","""If a person is <b>supportive</b> they are also likely to be:"",","""If a person is <b>supportive</b> they are also likely to:"","
unsupportive,unsupportive,A person who is unsupportive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is unsupportive they are also likely to be:,If a person is <b>unsupportive</b> they are also likely to be:,"""If a person is unsupportive they are also likely to be:"",","""If a person is <b>unsupportive</b> they are also likely to be:"",","""If a person is <b>unsupportive</b> they are also likely to:"","
fair,fair,A person who is fair,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is fair they are also likely to be:,If a person is <b>fair</b> they are also likely to be:,"""If a person is fair they are also likely to be:"",","""If a person is <b>fair</b> they are also likely to be:"",","""If a person is <b>fair</b> they are also likely to:"","
unfair,unfair,A person who is unfair,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is unfair they are also likely to be:,If a person is <b>unfair</b> they are also likely to be:,"""If a person is unfair they are also likely to be:"",","""If a person is <b>unfair</b> they are also likely to be:"",","""If a person is <b>unfair</b> they are also likely to:"","
moral,moral,A person who is moral,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is moral they are also likely to be:,If a person is <b>moral</b> they are also likely to be:,"""If a person is moral they are also likely to be:"",","""If a person is <b>moral</b> they are also likely to be:"",","""If a person is <b>moral</b> they are also likely to:"","
immoral,immoral,A person who is immoral,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is immoral they are also likely to be:,If a person is <b>immoral</b> they are also likely to be:,"""If a person is immoral they are also likely to be:"",","""If a person is <b>immoral</b> they are also likely to be:"",","""If a person is <b>immoral</b> they are also likely to:"","
honest,honest,A person who is honest,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is honest they are also likely to be:,If a person is <b>honest</b> they are also likely to be:,"""If a person is honest they are also likely to be:"",","""If a person is <b>honest</b> they are also likely to be:"",","""If a person is <b>honest</b> they are also likely to:"","
dishonest,dishonest,A person who is dishonest,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is dishonest they are also likely to be:,If a person is <b>dishonest</b> they are also likely to be:,"""If a person is dishonest they are also likely to be:"",","""If a person is <b>dishonest</b> they are also likely to be:"",","""If a person is <b>dishonest</b> they are also likely to:"","
sincere,sincere,A person who is sincere,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is sincere they are also likely to be:,If a person is <b>sincere</b> they are also likely to be:,"""If a person is sincere they are also likely to be:"",","""If a person is <b>sincere</b> they are also likely to be:"",","""If a person is <b>sincere</b> they are also likely to:"","
insincere,insincere,A person who is insincere,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is insincere they are also likely to be:,If a person is <b>insincere</b> they are also likely to be:,"""If a person is insincere they are also likely to be:"",","""If a person is <b>insincere</b> they are also likely to be:"",","""If a person is <b>insincere</b> they are also likely to:"","
loyal,loyal,A person who is loyal,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is loyal they are also likely to be:,If a person is <b>loyal</b> they are also likely to be:,"""If a person is loyal they are also likely to be:"",","""If a person is <b>loyal</b> they are also likely to be:"",","""If a person is <b>loyal</b> they are also likely to:"","
disloyal,disloyal,A person who is disloyal,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is disloyal they are also likely to be:,If a person is <b>disloyal</b> they are also likely to be:,"""If a person is disloyal they are also likely to be:"",","""If a person is <b>disloyal</b> they are also likely to be:"",","""If a person is <b>disloyal</b> they are also likely to:"","
benevolent,benevolent,A person who is benevolent,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is benevolent they are also likely to be:,If a person is <b>benevolent</b> they are also likely to be:,"""If a person is benevolent they are also likely to be:"",","""If a person is <b>benevolent</b> they are also likely to be:"",","""If a person is <b>benevolent</b> they are also likely to:"","
evil,evil,A person who is evil,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is evil they are also likely to be:,If a person is <b>evil</b> they are also likely to be:,"""If a person is evil they are also likely to be:"",","""If a person is <b>evil</b> they are also likely to be:"",","""If a person is <b>evil</b> they are also likely to:"","
compassionate,compassionate,A person who is compassionate,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is compassionate they are also likely to be:,If a person is <b>compassionate</b> they are also likely to be:,"""If a person is compassionate they are also likely to be:"",","""If a person is <b>compassionate</b> they are also likely to be:"",","""If a person is <b>compassionate</b> they are also likely to:"","
brutal,brutal,A person who is brutal,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is brutal they are also likely to be:,If a person is <b>brutal</b> they are also likely to be:,"""If a person is brutal they are also likely to be:"",","""If a person is <b>brutal</b> they are also likely to be:"",","""If a person is <b>brutal</b> they are also likely to:"","
genuine,genuine,A person who is genuine,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,If a person is genuine they are also likely to be:,If a person is <b>genuine</b> they are also likely to be:,"""If a person is genuine they are also likely to be:"",","""If a person is <b>genuine</b> they are also likely to be:"",","""If a person is <b>genuine</b> they are also likely to:"","
